Cluster,Country,Latitude (generated),Longitude (generated)
5,New Zealand,-42.558,172.377
4,Argentina,-33.166,-64.31
7,Uruguay,-32.948,-56.249
6,South Africa,-31.7,23.441
9,Lesotho,-29.446,28.371
9,Eswatini,-26.5203,31.4607
4,Australia,-24.578,133.582
6,Paraguay,-23.266,-58.409
6,Chile,-23.176,-69.201
7,Botswana,-22.126,23.662
10,Namibia,-21.276,17.219
1,New Caledonia,-21.02,165.062
5,Mauritius,-20.2529,57.5902
13,Madagascar,-19.615,46.645
13,Zimbabwe,-19.098,30.047
6,Fiji,-17.7941,177.9783
1,French Polynesia,-17.529,-149.53
6,Bolivia (Plurinational State of),-16.71,-65.183
10,Vanuatu,-15.339,166.89
11,Zambia,-15.13,25.268
12,Mozambique,-13.852,38.042
1,Samoa,-13.6221,-172.439
12,Malawi,-13.2731,33.7428
9,Angola,-12.836,17.808
6,Peru,-12.664,-72.98
4,Brazil,-11.694,-48.978
10,Solomon Islands,-9.5987,160.1487
10,Timor-Leste,-8.856,125.556
13,United Republic of Tanzania,-5.651,34.146
13,Rwanda,-1.887,29.904
8,Ecuador,-1.151,-78.308
6,Indonesia,-0.739,114.045
2,Gabon,-0.406,11.914
10,Sao Tome and Principe,0.216,6.595
10,Congo,0.509,16.08
13,Kenya,0.806,38.166
13,Uganda,1.9392,32.7415
6,Kiribati,2.048,-158.59
6,Colombia,3.794,-73.606
2,Maldives,4.221,73.463
6,Suriname,4.248,-55.848
8,Cameroon,4.4,12.131
6,Malaysia,4.416,102.099
8,Guyana,5.17,-58.939
10,Liberia,6.51,-9.33
8,Venezuela (Bolivarian Republic of),6.983,-64.588
10,Central African Republic,7.043,21.424
9,Ghana,7.258,-1.062
6,Sri Lanka,7.3,80.727
11,Côte d'Ivoire,7.497,-5.336
9,Togo,7.7,1.106
6,Panama,8.348,-81.005
7,Ethiopia,8.435,38.786
9,Sierra Leone,8.677,-11.779
8,Nigeria,9.3417,7.678
6,Costa Rica,10.126,-84.075
6,Trinidad and Tobago,10.4435,-61.2604
9,Benin,10.478,2.274
10,Guinea,10.599,-10.907
10,Djibouti,11.41,42.165
1,Grenada,12.111,-61.6867
10,Guinea-Bissau,12.191,-14.475
13,Burkina Faso,12.673,-1.226
11,Cambodia,12.69,104.444
6,Nicaragua,12.692,-85.03
5,Barbados,13.1898,-59.559
1,Saint Vincent and the Grenadines,13.2528,-61.1949
10,Gambia,13.499,-14.641
6,El Salvador,13.848,-89.229
1,Saint Lucia,13.909,-60.9776
6,Honduras,14.881,-87.123
13,Senegal,15.044,-15.081
6,Guatemala,15.124,-90.711
10,Cabo Verde,15.416,-23.36
1,Dominica,15.4238,-61.3411
9,Yemen,15.569,47.793
8,Thailand,15.688,100.845
13,Sudan,15.739,29.533
13,Chad,15.981,18.781
13,Niger,16.996,9.915
6,Belize,17.108,-88.744
1,Saint Kitts and Nevis,17.147,-62.58
6,Philippines,17.181,121.256
1,Antigua and Barbuda,17.625,-61.786
6,Jamaica,18.163,-77.477
8,Mali,18.211,-2.209
6,Dominican Republic,19.01,-70.1685
10,Haiti,19.3175,-72.4205
10,Mauritania,19.413,-10.6528
7,Lao People's Democratic Republic,19.595,102.538
2,Oman,19.85,56.25
6,Cuba,20.571,-76.456
6,Viet Nam,21.75,105.373
6,Myanmar,21.841,96.05
5,"China, Macao SAR",22.1404,113.5643
5,Hong Kong,22.4114,114.0599
13,India,22.741,78.236
6,Mexico,22.925,-101.68
5,Taiwan,23.6091,120.8353
5,United Arab Emirates,23.9299,53.9031
2,Saudi Arabia,24.191,44.32
13,Bangladesh,24.598,90.1963
1,Bahamas,24.7032,-78.0455
8,Egypt,26.16,28.742
13,Pakistan,28.1854,66.6429
13,Nepal,28.2114,83.5608
8,Algeria,28.6045,2.64
2,Kuwait,29.3169,47.4272
9,Jordan,30.681,36.279
4,Israel,30.992,34.834
8,Morocco,31.129,-7.355
8,Iran (Islamic Republic of),33.408,54.0418
10,Iraq,33.545,43.278
9,Afghanistan,34.023,65.5267
9,Lebanon,34.161,36.021
5,Cyprus,34.894,32.928
6,"China, mainland",35.1753,99.3877
8,Tunisia,35.594,9.421
5,Malta,35.9024,14.4137
5,Japan,35.962,137.855
5,Republic of Korea,36.338,128.16
10,Tajikistan,38.367,72.597
6,Turkey,39.144,34.188
11,Turkmenistan,39.584,59.597
13,Democratic People's Republic of Korea,39.767,126.389
5,Greece,39.787,21.617
4,United States of America,40.0792,-98.8164
6,Azerbaijan,40.46,47.883
6,Armenia,40.56,44.449
5,Spain,40.617,-3.388
5,Albania,40.654,20.076
5,Portugal,40.957,-7.9373
6,North Macedonia,41.636,21.676
9,Kyrgyzstan,41.741,75.043
7,Uzbekistan,41.757,63.958
6,Georgia,42.05,43.576
5,Bulgaria,42.625,24.521
5,Montenegro,42.857,19.096
6,Serbia,44.021,20.699
6,Bosnia and Herzegovina,44.342,17.804
5,Italy,44.3713,11.1084
5,Croatia,45.754,16.385
5,Romania,45.933,25.119
5,Slovenia,46.037,14.534
10,Mongolia,46.516,102.564
5,France,46.656,2.543
5,Switzerland,46.7794,8.0329
5,Hungary,47.174,19.618
6,Republic of Moldova,47.524,28.444
5,Austria,47.65,14.705
5,Slovakia,48.8595,19.4434
6,Kazakhstan,48.866,69.772
6,Ukraine,49.364,32.132
5,Luxembourg,49.671,6.113
5,Czechia,49.848,15.2812
3,Belgium,50.6745,4.4588
5,Germany,51.3819,9.9877
3,Netherlands,52.1704,5.0102
5,United Kingdom,52.289,-1.259
4,Poland,52.442,19.72
5,Ireland,53.214,-7.588
4,Belarus,53.3292,27.9492
5,Lithuania,55.342,24.23
5,Denmark,56.113,9.096
5,Latvia,57.017,25.0173
5,Estonia,58.777,25.977
5,Canada,59.2067,-111.1937
5,Norway,61.3701,9.3031
5,Finland,62.716,26.192
6,Russian Federation,64.736,104.062
5,Iceland,64.826,-18.417
5,Sweden,66.2188,19
