country,food_supply_kcalcapitaday,protein_supply_gcapitaday,pop_thousand,pop_growth,gdp_percapita_usd,gdp_growth,political_stability_index,euro_union,protein_animal_over_protein,dom_supply_poultry_tons,export_poultry_tons,import_poultry_tons,prod_poultry_tons,protein_poultry_gcapitaday,net_import_poultry_tons,net_import_poultry_over_domsupply,import_poultry_over_domsupply,prod_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry,import_french_chicken_tons,cluster,producer
Armenia,3072.0,97.33000000000006,2944.791,1.629044570863769,3078.97856425,9.889927622750003,-0.71,Outside EU,45.7823898078701,47000.0,0.0,35000.0,11000.0,5.44,35000.0,74.46808510638297,74.46808510638297,23.40425531914893,9.375,17.500000000000004,275.0,6,insufficient production
Afghanistan,1997.0,54.09,36296.113,12.477766605580245,468.297893,-5.2068566006845165,-2.78,Outside EU,19.523017193566282,57000.0,0.0,29000.0,28000.0,0.54,29000.0,50.877192982456144,50.877192982456144,49.122807017543856,-39.583333333333336,-24.0,244.0,9,insufficient production
Albania,3400.0,119.50000000000006,2884.169000000001,-0.6757031328022856,3347.70176,7.818559255362056,0.4,Outside EU,55.49790794979077,47000.0,0.0,38000.0,13000.0,6.26,38000.0,80.85106382978722,80.85106382978722,27.659574468085108,52.0,11.904761904761909,88.0,5,insufficient production
Algeria,3345.0,92.85,41389.189,8.518732747995394,3264.338962250001,-7.348643595130866,-0.96,Outside EU,27.67905223478729,277000.0,0.0,2000.0,275000.0,1.97,2000.0,0.7220216606498195,0.7220216606498195,99.27797833935018,-33.333333333333336,-4.810996563573888,46.0,8,insufficient production
Angola,2266.0,54.08999999999999,29816.766,14.610305183611414,2805.69259525,-15.509934204983145,-0.29,Outside EU,30.449251247920138,319000.0,0.0,277000.0,42000.0,3.6,277000.0,86.83385579937305,86.83385579937305,13.166144200626958,-19.00584795321637,-14.247311827956988,205.0,9,insufficient production
Antigua and Barbuda,2429.0,81.15000000000003,95.426,4.272476943922365,10549.721325,15.033875537289898,0.76,Outside EU,66.60505237215031,7000.0,0.0,7000.0,0.0,17.77,7000.0,100.0,100.0,0.0,16.666666666666675,0.0,0.0,1,insufficient production
Argentina,3239.0,102.66000000000004,43937.14,4.126241260137498,9908.0566145,-1.7239416335688595,0.18,Outside EU,63.96843950905902,1962000.0,207000.0,8000.0,2161000.0,13.53,-199000.0,-10.142711518858306,0.4077471967380225,110.1427115188583,100.0,22.471910112359556,0.0,4,surplus production
Australia,3307.0,108.01000000000002,24584.62,5.717961619551115,43942.873021,-1.9110778996257796,0.9,Outside EU,65.99388945468009,1171000.0,42000.0,16000.0,1269000.0,16.6,-26000.0,-2.2203245089666948,1.3663535439795047,108.36891545687445,-5.882352941176473,8.727948003714014,30.0,4,surplus production
Austria,3694.0,108.11,8819.901,3.0821198549961792,35788.4015825,1.335462846100488,1.04,EU,60.01294977337896,173000.0,78000.0,110000.0,148000.0,7.49,32000.0,18.497109826589593,63.58381502890174,85.5491329479769,4.761904761904766,2.3668639053254337,482.0,5,insufficient production
Bahamas,2043.0,61.37000000000001,381.755,3.97255759609334,21579.0614105,-0.027426894018256487,1.0,Outside EU,68.43734723806418,26000.0,0.0,24000.0,6000.0,14.61,24000.0,92.30769230769229,92.30769230769229,23.07692307692308,26.3157894736842,8.333333333333325,1.0,1,insufficient production
Barbados,2896.0,88.73999999999998,286.232,0.6809803866392851,12607.7082305,4.088188309717222,0.98,Outside EU,56.783862970475546,17000.0,0.0,2000.0,15000.0,15.33,2000.0,11.764705882352938,11.764705882352938,88.23529411764706,100.0,13.33333333333333,0.0,5,insufficient production
Bangladesh,2596.0,60.22000000000001,159685.424,4.532562011174823,985.1669375,33.82132819171875,-1.25,Outside EU,19.843905679176352,250000.0,0.0,0.0,249000.0,0.47,0.0,0.0,0.0,99.6,0.0,13.63636363636365,28.0,13,insufficient production
Bolivia (Plurinational State of),2354.0,68.40000000000002,11192.855,6.1701265283910836,2290.8415525,13.775171247759712,-0.3,Outside EU,45.380116959064324,429000.0,1000.0,1000.0,533000.0,11.43,0.0,0.0,0.2331002331002331,124.24242424242424,0.0,17.21311475409837,0.0,6,surplus production
Botswana,2338.0,65.08999999999999,2205.08,6.91048159848886,5468.2993165,3.9743285713563337,1.03,Outside EU,40.63604240282685,7000.0,0.0,3000.0,5000.0,1.19,3000.0,42.857142857142854,42.857142857142854,71.42857142857143,-50.0,-36.36363636363637,0.0,7,insufficient production
Brazil,3250.0,90.87,207833.823,3.3814411228179075,7272.45301975,-12.684769179787214,-0.41,Outside EU,58.10498514361175,9982000.0,4223000.0,3000.0,14201000.0,15.68,-4220000.0,-42.276096974554186,0.030054097375275493,142.26607894209582,0.0,10.71428571428572,2.0,4,surplus production
Belize,2694.0,67.11000000000001,375.769,8.69328782378549,3472.2043347499994,1.980720074778275,0.05,Outside EU,37.8930114736999,19000.0,0.0,0.0,20000.0,8.26,0.0,0.0,0.0,105.26315789473685,0.0,18.75,0.0,6,surplus production
Solomon Islands,2410.0,53.64,636.039,11.324859627259618,1326.1023165,4.637952953240566,0.21,Outside EU,29.567486950037278,3000.0,0.0,6000.0,0.0,1.51,6000.0,200.0,200.0,0.0,200.0,50.0,0.0,10,insufficient production
Bulgaria,2827.0,83.19000000000003,7102.444,-2.57396069841681,6081.4616595,13.86366387778044,0.37,EU,50.06611371559081,157000.0,45000.0,108000.0,107000.0,8.74,63000.0,40.127388535031855,68.78980891719746,68.15286624203821,25.58139534883721,3.973509933774833,4208.0,5,insufficient production
Myanmar,2701.0,93.34999999999998,53382.523,2.950785293382752,955.8806210000001,17.383127021745562,-1.08,Outside EU,47.83074450990893,1666000.0,0.0,3000.0,1662000.0,9.93,3000.0,0.18007202881152462,0.18007202881152462,99.75990396158464,200.0,39.18128654970761,1.0,6,insufficient production
Cameroon,2652.0,69.49,24566.073,11.27302558003711,1090.115334,4.8870149005611365,-1.08,Outside EU,16.232551446251257,82000.0,0.0,0.0,81000.0,1.07,0.0,0.0,0.0,98.78048780487805,-100.0,12.328767123287676,119.0,8,insufficient production
Canada,3492.0,101.32999999999998,36732.095,4.067162073278152,35182.95014625,-2.4221225516316003,1.11,Outside EU,50.300996743313945,1433000.0,163000.0,182000.0,1417000.0,13.86,19000.0,1.3258897418004187,12.70062805303559,98.8834612700628,-19.469026548672566,11.085271317829461,42.0,5,insufficient production
Cabo Verde,2512.0,69.33000000000001,537.498,5.031773450995415,2496.293768,0.1702404368131072,0.9,Outside EU,37.097937400836564,10000.0,0.0,12000.0,1000.0,6.52,12000.0,120.0,120.0,10.0,33.33333333333333,11.111111111111116,263.0,10,insufficient production
Central African Republic,1754.0,46.4,4596.023,3.329156122469157,287.1669585,20.39988206581496,-1.94,Outside EU,43.72844827586207,11000.0,0.0,4000.0,7000.0,0.78,4000.0,36.36363636363637,36.36363636363637,63.63636363636363,300.0,57.14285714285714,168.0,10,insufficient production
Sri Lanka,2609.0,64.27000000000001,21128.032000000007,2.2503265007492117,3086.292467,16.83095908654235,-0.06,Outside EU,29.12711996265753,192000.0,2000.0,0.0,192000.0,2.64,-2000.0,-1.0416666666666663,0.0,100.0,0.0,82.85714285714283,0.0,6,surplus production
Chad,2092.0,70.51,15016.753,13.587452090260575,566.3496735000001,-18.88451802561263,-1.34,Outside EU,30.86087079846831,7000.0,0.0,1000.0,6000.0,0.15,1000.0,14.285714285714285,14.285714285714285,85.71428571428571,100.0,39.99999999999999,38.0,13,insufficient production
Chile,3007.0,88.56999999999996,18470.439,5.11585033657045,11088.79336525,1.0097217175138562,0.38,Outside EU,51.42824884272329,672000.0,115000.0,155000.0,712000.0,12.21,40000.0,5.952380952380952,23.065476190476193,105.95238095238096,91.35802469135805,4.510108864696738,23.0,6,surplus production
"China, mainland",3197.0,101.44000000000004,1421021.791,2.093455706521019,6183.55598675,26.909742356927204,-0.25,Outside EU,39.501182965299655,18161000.0,576000.0,452000.0,18236000.0,3.96,-124000.0,-0.6827817851439899,2.4888497329442214,100.41297285391771,-22.602739726027398,-0.6781514902925889,638.0,6,surplus production
Colombia,3092.0,72.31000000000002,48909.83900000001,5.192645231227067,5036.2515215,-3.4742540394475,-0.79,Outside EU,51.40367860600193,1643000.0,2000.0,78000.0,1564000.0,9.57,76000.0,4.625684723067558,4.747413268411441,95.19172245891663,34.48275862068966,23.34834834834836,2.0,6,insufficient production
Congo,2305.0,55.63000000000001,5110.695,10.555010186550806,1646.829114,-29.197723617776276,-0.53,Outside EU,47.959733956498276,110000.0,0.0,104000.0,7000.0,7.45,104000.0,94.54545454545456,94.54545454545456,6.363636363636362,103.92156862745097,89.65517241379311,2801.0,10,insufficient production
Costa Rica,3013.0,81.15000000000002,4949.9540000000015,4.383009493459356,8421.926567,11.281346791901116,0.51,Outside EU,56.19223659889092,134000.0,3000.0,17000.0,133000.0,7.93,14000.0,10.44776119402985,12.686567164179106,99.25373134328358,112.5,12.605042016806722,0.0,6,insufficient production
Cuba,3409.0,88.4,11339.254,0.5010403960107768,5696.35581575,13.152091322722105,0.69,Outside EU,36.85520361990949,342000.0,0.0,312000.0,29000.0,7.12,312000.0,91.22807017543859,91.22807017543859,8.47953216374269,60.00000000000001,50.66079295154184,0.0,6,insufficient production
