country,food_supply_kcalcapitaday,protein_supply_gcapitaday,dom_supply_tons,pop_thousand,pop_growth,gdp_percapita_usd,gdp_growth,political_stability_index,euro_union,protein_animal_over_protein,dom_supply_poultry_tons,prod_poultry_tons,import_poultry_tons,protein_poultry_gcapitaday,net_import_poultry_tons,net_import_poultry_over_domsupply,import_poultry_over_domsupply,prod_poultry_over_domsupply,growth_net_import_poultry,growth_domsupply_poultry
Armenia,2924.0,3072.0,97.33000000000006,2944.7909999999997,1.629044570863769,3078.9785642499996,9.889927622750005,-0.71,Outside EU,1.4505208333333333,47000.0,0.0,35000.0,5.44,24000.0,51.06382978723404,74.46808510638297,0.0,0.0,17.500000000000004
Afghanistan,2087.0,1997.0,54.09,36296.113,12.477766605580243,468.29789300000004,-5.206856600684517,-2.78,Outside EU,0.528793189784677,57000.0,0.0,29000.0,0.54,1000.0,1.7543859649122806,50.877192982456144,0.0,-95.45454545454545,-24.0
Albania,3188.0,3400.0,119.50000000000006,2884.1690000000003,-0.6757031328022856,3347.70176,7.818559255362056,0.4,Outside EU,1.9505882352941175,47000.0,0.0,38000.0,6.26,25000.0,53.191489361702125,80.85106382978722,0.0,212.5,11.904761904761907
Algeria,3293.0,3345.0,92.85,41389.189,8.518732747995394,3264.3389622500003,-7.348643595130866,-0.96,Outside EU,0.7683109118086695,277000.0,0.0,2000.0,1.97,-273000.0,-98.55595667870037,0.7220216606498195,0.0,-4.210526315789476,-4.810996563573888
Angola,2474.0,2266.0,54.08999999999999,29816.766,14.610305183611416,2805.69259525,-15.509934204983145,-0.29,Outside EU,0.7268314210061783,319000.0,0.0,277000.0,3.6,235000.0,73.66771159874608,86.83385579937304,0.0,-24.679487179487182,-14.247311827956988
Antigua and Barbuda,2416.0,2429.0,81.15000000000003,95.426,4.272476943922365,10549.721324999999,15.033875537289898,0.76,Outside EU,2.2251955537258135,7000.0,0.0,7000.0,17.77,7000.0,100.0,100.0,0.0,16.666666666666675,0.0
Argentina,3226.0,3239.0,102.66000000000003,43937.14,4.126241260137498,9908.0566145,-1.7239416335688595,0.18,Outside EU,2.0274776165483175,1962000.0,207000.0,8000.0,13.53,-2153000.0,-109.73496432212029,0.40774719673802245,10.550458715596331,9.679062659195115,22.47191011235956
Australia,3278.0,3307.0,108.01000000000002,24584.62,5.717961619551115,43942.873021,-1.9110778996257793,0.9,Outside EU,2.1554278802540057,1171000.0,42000.0,16000.0,16.6,-1253000.0,-107.00256191289496,1.3663535439795047,3.5866780529461995,15.911193339500462,8.727948003714015
Austria,3770.0,3694.0,108.11,8819.901,3.0821198549961792,35788.4015825,1.335462846100488,1.04,EU,1.7563616675690306,173000.0,78000.0,110000.0,7.49,-38000.0,-21.965317919075144,63.58381502890174,45.08670520231214,46.153846153846146,2.3668639053254337
Bahamas,2670.0,2043.0,61.370000000000005,381.755,3.97255759609334,21579.0614105,-0.027426894018256487,1.0,Outside EU,2.055800293685756,26000.0,0.0,24000.0,14.61,18000.0,69.23076923076923,92.3076923076923,0.0,50.0,8.333333333333325
Barbados,2936.0,2896.0,88.73999999999998,286.232,0.680980386639285,12607.7082305,4.088188309717222,0.98,Outside EU,1.7399861878453038,17000.0,0.0,2000.0,15.33,-13000.0,-76.47058823529412,11.76470588235294,0.0,0.0,13.33333333333333
Bangladesh,2453.0,2596.0,60.22000000000001,159685.424,4.532562011174823,985.1669375,33.82132819171875,-1.25,Outside EU,0.46032357473035423,250000.0,0.0,0.0,0.47,-249000.0,-99.6,0.0,0.0,13.181818181818183,13.636363636363647
Bolivia (Plurinational State of),2250.0,2354.0,68.40000000000002,11192.855,6.170126528391084,2290.8415525,13.77517124775971,-0.3,Outside EU,1.318606627017842,429000.0,1000.0,1000.0,11.43,-532000.0,-124.009324009324,0.2331002331002331,0.2331002331002331,44.959128065395106,17.21311475409837
Botswana,2325.0,2338.0,65.08999999999999,2205.08,6.91048159848886,5468.2993165,3.9743285713563337,1.03,Outside EU,1.1313088109495293,7000.0,0.0,3000.0,1.19,-2000.0,-28.57142857142857,42.857142857142854,0.0,-300.0,-36.36363636363637
