country,food_supply_kcalcapitaday,pop_growth,protein_supply_gcapitaday,protein_animal_over_protein,pop_thousand,euro_union
Armenia,2924.0,1.629044570863769,3072.0,1.4505208333333333,2944.7909999999997,Outside EU
Afghanistan,2087.0,12.477766605580243,1997.0,0.528793189784677,36296.113,Outside EU
Albania,3188.0,-0.6757031328022856,3400.0,1.9505882352941175,2884.1690000000003,Outside EU
Algeria,3293.0,8.518732747995394,3345.0,0.7683109118086695,41389.189,Outside EU
Angola,2474.0,14.610305183611416,2266.0,0.7268314210061783,29816.766,Outside EU
Antigua and Barbuda,2416.0,4.272476943922365,2429.0,2.2251955537258135,95.426,Outside EU
Argentina,3226.0,4.126241260137498,3239.0,2.0274776165483175,43937.14,Outside EU
Australia,3278.0,5.717961619551115,3307.0,2.1554278802540057,24584.62,Outside EU
Austria,3770.0,3.0821198549961792,3694.0,1.7563616675690306,8819.901,EU
Bahamas,2670.0,3.97255759609334,2043.0,2.055800293685756,381.755,Outside EU
Barbados,2936.0,0.680980386639285,2896.0,1.7399861878453038,286.232,Outside EU
Bangladesh,2453.0,4.532562011174823,2596.0,0.46032357473035423,159685.424,Outside EU
Bolivia (Plurinational State of),2250.0,6.170126528391084,2354.0,1.318606627017842,11192.855,Outside EU
Botswana,2325.0,6.91048159848886,2338.0,1.1313088109495293,2205.08,Outside EU
Brazil,3262.0,3.3814411228179075,3250.0,1.6246153846153848,207833.823,Outside EU
Belize,2746.0,8.69328782378549,2694.0,0.943949517446177,375.769,Outside EU
Solomon Islands,2383.0,11.32485962725962,2410.0,0.6580912863070539,636.039,Outside EU
Bulgaria,2828.0,-2.5739606984168106,2827.0,1.4732932437212596,7102.444,EU
Myanmar,2574.0,2.9507852933827516,2701.0,1.653091447611995,53382.523,Outside EU
Cameroon,2669.0,11.27302558003711,2652.0,0.42533936651583704,24566.072999999997,Outside EU
Canada,3499.0,4.067162073278152,3492.0,1.4596219931271481,36732.095,Outside EU
Cabo Verde,2605.0,5.031773450995414,2512.0,1.0238853503184713,537.498,Outside EU
Central African Republic,1879.0,3.329156122469157,1754.0,1.1567844925883692,4596.023,Outside EU
Sri Lanka,2537.0,2.2503265007492113,2609.0,0.7175162897661942,21128.032000000003,Outside EU
Chad,2109.0,13.587452090260577,2092.0,1.0401529636711282,15016.753,Outside EU
Chile,2980.0,5.115850336570449,3007.0,1.5147988027934818,18470.439,Outside EU
"China, mainland",3112.0,2.093455706521019,3197.0,1.2533625273694087,1421021.791,Outside EU
Colombia,2800.0,5.192645231227067,3092.0,1.2021345407503234,48909.83900000001,Outside EU
Congo,2206.0,10.555010186550806,2305.0,1.1574837310195227,5110.695,Outside EU
Costa Rica,2846.0,4.3830094934593555,3013.0,1.5134417524062398,4949.954000000001,Outside EU
Cuba,3402.0,0.5010403960107768,3409.0,0.9557054854796129,11339.253999999999,Outside EU
Cyprus,2646.0,3.130786298395094,2612.0,1.7480857580398164,1179.678,EU
Azerbaijan,3113.0,4.899617152815394,3102.0,0.9700193423597678,9845.32,Outside EU
Benin,2619.0,11.700698209452032,2754.0,0.5225127087872186,11175.198,Outside EU
Denmark,3366.0,1.669503001430428,3383.0,2.1646467632279043,5732.274,EU
Dominica,2930.0,0.6223949532499606,2945.0,1.4611205432937187,71.458,Outside EU
Dominican Republic,2611.0,4.62640591897161,2856.0,1.2020308123249301,10513.104,Outside EU
Belarus,3249.0,0.2835993312892304,3289.0,1.55031924597142,9450.231,Outside EU
Ecuador,2346.0,6.862255509701964,2585.0,1.158220502901354,16785.361,Outside EU
Egypt,3518.0,9.09222010797941,3315.0,0.7254901960784315,96442.591,Outside EU
El Salvador,2576.0,1.947887591424946,2660.0,0.9759398496240601,6388.126,Outside EU
