country,pop_growth,gdp_percapita_usd,political_stability_index,food_supply_kcalcapitaday,protein_supply_gcapitaday,protein_animal_over_protein,protein_poultry_gcapitaday,prod_poultry_over_domsupply,net_import_poultry_over_domsupply,import_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry
Armenia,1.629044570863769,3078.9785642499996,-0.71,3072.0,97.33000000000006,45.7823898078701,5.44,23.404255319148938,74.46808510638297,74.46808510638297,9.375,17.500000000000004
Afghanistan,12.477766605580243,468.29789300000004,-2.78,1997.0,54.09,19.523017193566282,0.54,49.122807017543856,50.877192982456144,50.877192982456144,-39.583333333333336,-24.0
Albania,-0.6757031328022856,3347.70176,0.4,3400.0,119.50000000000006,55.49790794979077,6.26,27.659574468085108,80.85106382978722,80.85106382978722,52.0,11.904761904761907
Algeria,8.518732747995394,3264.3389622500003,-0.96,3345.0,92.85,27.67905223478729,1.97,99.27797833935018,0.7220216606498195,0.7220216606498195,-33.333333333333336,-4.810996563573888
Angola,14.610305183611416,2805.69259525,-0.29,2266.0,54.08999999999999,30.449251247920138,3.6,13.166144200626958,86.83385579937304,86.83385579937304,-19.00584795321637,-14.247311827956988
Antigua and Barbuda,4.272476943922365,10549.721324999999,0.76,2429.0,81.15000000000003,66.60505237215031,17.77,0.0,100.0,100.0,16.666666666666675,0.0
Argentina,4.126241260137498,9908.0566145,0.18,3239.0,102.66000000000003,63.968439509059024,13.53,110.1427115188583,-10.142711518858308,0.40774719673802245,100.0,22.47191011235956
Australia,5.717961619551115,43942.873021,0.9,3307.0,108.01000000000002,65.99388945468009,16.6,108.36891545687446,-2.220324508966695,1.3663535439795047,-5.882352941176472,8.727948003714015
Austria,3.0821198549961792,35788.4015825,1.04,3694.0,108.11,60.012949773378956,7.49,85.54913294797689,18.497109826589593,63.58381502890174,4.761904761904767,2.3668639053254337
Bahamas,3.97255759609334,21579.0614105,1.0,2043.0,61.370000000000005,68.43734723806418,14.61,23.076923076923077,92.3076923076923,92.3076923076923,26.315789473684205,8.333333333333325
Barbados,0.680980386639285,12607.7082305,0.98,2896.0,88.73999999999998,56.78386297047555,15.33,88.23529411764706,11.76470588235294,11.76470588235294,100.0,13.33333333333333
Bangladesh,4.532562011174823,985.1669375,-1.25,2596.0,60.22000000000001,19.84390567917635,0.47,99.6,0.0,0.0,0.0,13.636363636363647
Bolivia (Plurinational State of),6.170126528391084,2290.8415525,-0.3,2354.0,68.40000000000002,45.380116959064324,11.43,124.24242424242425,0.0,0.2331002331002331,0.0,17.21311475409837
Botswana,6.91048159848886,5468.2993165,1.03,2338.0,65.08999999999999,40.63604240282685,1.19,71.42857142857143,42.857142857142854,42.857142857142854,-50.0,-36.36363636363637
Brazil,3.3814411228179075,7272.45301975,-0.41,3250.0,90.86999999999999,58.10498514361174,15.68,142.2660789420958,-42.27609697455419,0.030054097375275493,0.0,10.71428571428572
Belize,8.69328782378549,3472.2043347499994,0.05,2694.0,67.11000000000001,37.8930114736999,8.26,105.26315789473684,0.0,0.0,0.0,18.75
Solomon Islands,11.32485962725962,1326.1023165000001,0.21,2410.0,53.64,29.56748695003728,1.51,0.0,200.0,200.0,200.0,50.0
Bulgaria,-2.5739606984168106,6081.4616595,0.37,2827.0,83.19000000000003,50.06611371559081,8.74,68.15286624203821,40.12738853503185,68.78980891719745,25.581395348837212,3.9735099337748325
Myanmar,2.9507852933827516,955.880621,-1.08,2701.0,93.34999999999998,47.83074450990894,9.93,99.75990396158463,0.18007202881152462,0.18007202881152462,200.0,39.18128654970761
Cameroon,11.27302558003711,1090.115334,-1.08,2652.0,69.49,16.232551446251257,1.07,98.78048780487805,0.0,0.0,-100.0,12.328767123287676
Canada,4.067162073278152,35182.95014625,1.11,3492.0,101.32999999999998,50.300996743313945,13.86,98.8834612700628,1.3258897418004187,12.70062805303559,-19.469026548672563,11.08527131782946
Cabo Verde,5.031773450995414,2496.293768,0.9,2512.0,69.33000000000001,37.097937400836564,6.52,10.0,120.0,120.0,33.33333333333333,11.111111111111116
Central African Republic,3.329156122469157,287.1669585,-1.94,1754.0,46.4,43.72844827586208,0.78,63.63636363636363,36.36363636363637,36.36363636363637,300.0,57.14285714285714
Sri Lanka,2.2503265007492113,3086.292467,-0.06,2609.0,64.27000000000001,29.12711996265753,2.64,100.0,-1.0416666666666665,0.0,0.0,82.85714285714285
Chad,13.587452090260577,566.3496735000001,-1.34,2092.0,70.51,30.86087079846831,0.15,85.71428571428571,14.285714285714285,14.285714285714285,100.0,39.99999999999999
Chile,5.115850336570449,11088.79336525,0.38,3007.0,88.56999999999996,51.42824884272329,12.21,105.95238095238095,5.952380952380952,23.065476190476193,91.35802469135803,4.510108864696738
"China, mainland",2.093455706521019,6183.55598675,-0.25,3197.0,101.44000000000005,39.50118296529966,3.96,100.41297285391772,-0.6827817851439899,2.4888497329442214,-22.602739726027398,-0.6781514902925889
Colombia,5.192645231227067,5036.2515215,-0.79,3092.0,72.31000000000002,51.40367860600193,9.57,95.19172245891662,4.625684723067559,4.747413268411442,34.48275862068966,23.34834834834836
Congo,10.555010186550806,1646.8291140000001,-0.53,2305.0,55.63000000000001,47.95973395649828,7.45,6.363636363636363,94.54545454545455,94.54545454545455,103.92156862745097,89.65517241379311
Costa Rica,4.3830094934593555,8421.926567,0.51,3013.0,81.15000000000002,56.19223659889092,7.93,99.25373134328358,10.44776119402985,12.686567164179104,112.5,12.605042016806722
Cuba,0.5010403960107768,5696.35581575,0.69,3409.0,88.4,36.855203619909496,7.12,8.47953216374269,91.22807017543859,91.22807017543859,60.00000000000001,50.66079295154184
Cyprus,3.130786298395094,20603.960154250002,0.6,2612.0,80.2,56.93266832917704,9.58,65.78947368421053,34.21052631578947,36.84210526315789,7.692307692307687,11.764705882352944
Azerbaijan,4.899617152815394,3788.932661,-0.76,3102.0,92.30000000000003,32.60021668472372,4.45,80.62015503875969,20.930232558139537,20.930232558139537,440.00000000000006,30.303030303030297
Benin,11.700698209452032,642.66652525,0.05,2754.0,64.44999999999999,22.327385570209472,4.98,11.180124223602485,76.3975155279503,76.3975155279503,-33.513513513513516,-20.68965517241379
Denmark,1.669503001430428,43941.96381925,0.87,3383.0,112.92000000000006,64.85122210414448,12.97,103.59281437125749,-3.592814371257485,79.64071856287424,31.68316831683169,10.596026490066235
Dominica,0.6223949532499606,5047.420596,1.04,2945.0,78.96000000000005,54.495947315096224,11.52,0.0,100.0,100.0,0.0,0.0
