country,pop_growth,gdp_percapita_usd,political_stability_index,food_supply_kcalcapitaday,protein_supply_gcapitaday,protein_animal_over_protein,import_poultry_over_domsupply
Armenia,1.629044570863769,3078.9785642499996,-0.71,3072.0,97.33000000000006,45.7823898078701,74.46808510638297
Afghanistan,12.477766605580243,468.29789300000004,-2.78,1997.0,54.09,19.523017193566282,50.877192982456144
Albania,-0.6757031328022856,3347.70176,0.4,3400.0,119.50000000000006,55.49790794979077,80.85106382978722
Algeria,8.518732747995394,3264.3389622500003,-0.96,3345.0,92.85,27.67905223478729,0.7220216606498195
Angola,14.610305183611416,2805.69259525,-0.29,2266.0,54.08999999999999,30.449251247920138,86.83385579937304
Antigua and Barbuda,4.272476943922365,10549.721324999999,0.76,2429.0,81.15000000000003,66.60505237215031,100.0
Argentina,4.126241260137498,9908.0566145,0.18,3239.0,102.66000000000003,63.968439509059024,0.40774719673802245
Australia,5.717961619551115,43942.873021,0.9,3307.0,108.01000000000002,65.99388945468009,1.3663535439795047
Austria,3.0821198549961792,35788.4015825,1.04,3694.0,108.11,60.012949773378956,63.58381502890174
Bahamas,3.97255759609334,21579.0614105,1.0,2043.0,61.370000000000005,68.43734723806418,92.3076923076923
Barbados,0.680980386639285,12607.7082305,0.98,2896.0,88.73999999999998,56.78386297047555,11.76470588235294
Bangladesh,4.532562011174823,985.1669375,-1.25,2596.0,60.22000000000001,19.84390567917635,0.0
Bolivia (Plurinational State of),6.170126528391084,2290.8415525,-0.3,2354.0,68.40000000000002,45.380116959064324,0.2331002331002331
Botswana,6.91048159848886,5468.2993165,1.03,2338.0,65.08999999999999,40.63604240282685,42.857142857142854
Brazil,3.3814411228179075,7272.45301975,-0.41,3250.0,90.86999999999999,58.10498514361174,0.030054097375275493
Belize,8.69328782378549,3472.2043347499994,0.05,2694.0,67.11000000000001,37.8930114736999,0.0
Solomon Islands,11.32485962725962,1326.1023165000001,0.21,2410.0,53.64,29.56748695003728,200.0
Bulgaria,-2.5739606984168106,6081.4616595,0.37,2827.0,83.19000000000003,50.06611371559081,68.78980891719745
Myanmar,2.9507852933827516,955.880621,-1.08,2701.0,93.34999999999998,47.83074450990894,0.18007202881152462
Cameroon,11.27302558003711,1090.115334,-1.08,2652.0,69.49,16.232551446251257,0.0
Canada,4.067162073278152,35182.95014625,1.11,3492.0,101.32999999999998,50.300996743313945,12.70062805303559
Cabo Verde,5.031773450995414,2496.293768,0.9,2512.0,69.33000000000001,37.097937400836564,120.0
Central African Republic,3.329156122469157,287.1669585,-1.94,1754.0,46.4,43.72844827586208,36.36363636363637
Sri Lanka,2.2503265007492113,3086.292467,-0.06,2609.0,64.27000000000001,29.12711996265753,0.0
Chad,13.587452090260577,566.3496735000001,-1.34,2092.0,70.51,30.86087079846831,14.285714285714285
Chile,5.115850336570449,11088.79336525,0.38,3007.0,88.56999999999996,51.42824884272329,23.065476190476193
"China, mainland",2.093455706521019,6183.55598675,-0.25,3197.0,101.44000000000005,39.50118296529966,2.4888497329442214
Colombia,5.192645231227067,5036.2515215,-0.79,3092.0,72.31000000000002,51.40367860600193,4.747413268411442
Congo,10.555010186550806,1646.8291140000001,-0.53,2305.0,55.63000000000001,47.95973395649828,94.54545454545455
Costa Rica,4.3830094934593555,8421.926567,0.51,3013.0,81.15000000000002,56.19223659889092,12.686567164179104
Cuba,0.5010403960107768,5696.35581575,0.69,3409.0,88.4,36.855203619909496,91.22807017543859
Cyprus,3.130786298395094,20603.960154250002,0.6,2612.0,80.2,56.93266832917704,36.84210526315789
Azerbaijan,4.899617152815394,3788.932661,-0.76,3102.0,92.30000000000003,32.60021668472372,20.930232558139537
Benin,11.700698209452032,642.66652525,0.05,2754.0,64.44999999999999,22.327385570209472,76.3975155279503
Denmark,1.669503001430428,43941.96381925,0.87,3383.0,112.92000000000006,64.85122210414448,79.64071856287424
Dominica,0.6223949532499606,5047.420596,1.04,2945.0,78.96000000000005,54.495947315096224,100.0
Dominican Republic,4.62640591897161,5307.4390244999995,0.16,2856.0,66.86,51.346096320670064,11.200000000000001
