country,protein_poultry_gcapitaday,prod_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry,import_poultry_over_domsupply,net_import_poultry_over_domsupply
Armenia,5.44,23.404255319148938,9.375,17.500000000000004,74.46808510638297,74.46808510638297
Afghanistan,0.54,49.122807017543856,-39.583333333333336,-24.0,50.877192982456144,50.877192982456144
Albania,6.26,27.659574468085108,52.0,11.904761904761907,80.85106382978722,80.85106382978722
Algeria,1.97,99.27797833935018,-33.333333333333336,-4.810996563573888,0.7220216606498195,0.7220216606498195
Angola,3.6,13.166144200626958,-19.00584795321637,-14.247311827956988,86.83385579937304,86.83385579937304
Antigua and Barbuda,17.77,0.0,16.666666666666675,0.0,100.0,100.0
Argentina,13.53,110.1427115188583,100.0,22.47191011235956,0.40774719673802245,-10.142711518858308
Australia,16.6,108.36891545687446,-5.882352941176472,8.727948003714015,1.3663535439795047,-2.220324508966695
Austria,7.49,85.54913294797689,4.761904761904767,2.3668639053254337,63.58381502890174,18.497109826589593
Bahamas,14.61,23.076923076923077,26.315789473684205,8.333333333333325,92.3076923076923,92.3076923076923
Barbados,15.33,88.23529411764706,100.0,13.33333333333333,11.76470588235294,11.76470588235294
Bangladesh,0.47,99.6,0.0,13.636363636363647,0.0,0.0
Bolivia (Plurinational State of),11.43,124.24242424242425,0.0,17.21311475409837,0.2331002331002331,0.0
Botswana,1.19,71.42857142857143,-50.0,-36.36363636363637,42.857142857142854,42.857142857142854
Brazil,15.68,142.2660789420958,0.0,10.71428571428572,0.030054097375275493,-42.27609697455419
Belize,8.26,105.26315789473684,0.0,18.75,0.0,0.0
Solomon Islands,1.51,0.0,200.0,50.0,200.0,200.0
Bulgaria,8.74,68.15286624203821,25.581395348837212,3.9735099337748325,68.78980891719745,40.12738853503185
Myanmar,9.93,99.75990396158463,200.0,39.18128654970761,0.18007202881152462,0.18007202881152462
Cameroon,1.07,98.78048780487805,-100.0,12.328767123287676,0.0,0.0
Canada,13.86,98.8834612700628,-19.469026548672563,11.08527131782946,12.70062805303559,1.3258897418004187
Cabo Verde,6.52,10.0,33.33333333333333,11.111111111111116,120.0,120.0
