Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","2","Afghanistan","6109","Value Local Currency","22008","Gross Domestic Product","2013","2013","millions","1196728","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2013","2013","millions","21610.365221","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","958719.65655","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","1244884.014831","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","20638.726902","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","20360.051319","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6155","Annual growth Local Currency","22008","Gross Domestic Product","2013","2013","%","10.175861","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6170","Annual growth, Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","%","6.475934","FC","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6181","Annual growth, Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","%","6.475934","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","1.310263","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6171","Annual growth, US$, 2010 prices","22008","Gross Domestic Product","2013","2013","%","6.475934","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6182","Annual growth, US$, 2015 prices","22008","Gross Domestic Product","2013","2013","%","6.475934","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6109","Value Local Currency","22008","Gross Domestic Product","2017","2017","millions","1463633","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2017","2017","millions","21515.502135","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","1030060.2003","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","1398070.239845","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","22174.502236","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","2","Afghanistan","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","22865.408739","X","International reliable sources","Data from UNSD AMA"
