Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","LCU","381000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7001","January","LCU","539000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7002","February","LCU","539000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7003","March","LCU","539000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7004","April","LCU","488000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7005","May","LCU","488000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7006","June","LCU","488000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7007","July","LCU","262000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7008","August","LCU","262000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7009","September","LCU","262000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7010","October","LCU","234000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7011","November","LCU","234000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7012","December","LCU","234000","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","LCU","508000","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","LCU","294138","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7001","January","LCU","297034.2","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7002","February","LCU","296515.6","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7003","March","LCU","292368.8","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7004","April","LCU","294792.7","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7005","May","LCU","299714.4","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7006","June","LCU","289756.1","","Official data"
