Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","1.79","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","2.04","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","120530","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","135730","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.08","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.07","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","11.93","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","10.54","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","89280","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","78350","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.03","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.03","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","21.15","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","20.69","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","1300000","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","1314355.2","Fc","Calculated data"
"EK","Livestock Patterns","5","American Samoa","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.08","Fc","Calculated data"
"EK","Livestock Patterns","5","American Samoa","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.08","Fc","Calculated data"
"EK","Livestock Patterns","5","American Samoa","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","15.59","Fc","Calculated data"
"EK","Livestock Patterns","5","American Samoa","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","15.74","Fc","Calculated data"
"EK","Livestock Patterns","5","American Samoa","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","400","Fc","Calculated data"
"EK","Livestock Patterns","5","American Samoa","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","404.71","Fc","Calculated data"
"EK","Livestock Patterns","7","Angola","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","7","Angola","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.01","Fc","Calculated data"
"EK","Livestock Patterns","7","Angola","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","7.33","Fc","Calculated data"
"EK","Livestock Patterns","7","Angola","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","8.89","Fc","Calculated data"
"EK","Livestock Patterns","7","Angola","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","272070.37","Fc","Calculated data"
"EK","Livestock Patterns","7","Angola","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","365000","Fc","Calculated data"
"EK","Livestock Patterns","8","Antigua and Barbuda","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.17","Fc","Calculated data"
"EK","Livestock Patterns","8","Antigua and Barbuda","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.18","Fc","Calculated data"
"EK","Livestock Patterns","8","Antigua and Barbuda","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","13.92","Fc","Calculated data"
"EK","Livestock Patterns","8","Antigua and Barbuda","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","14.54","Fc","Calculated data"
"EK","Livestock Patterns","8","Antigua and Barbuda","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","1500","Fc","Calculated data"
"EK","Livestock Patterns","8","Antigua and Barbuda","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","1579.23","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.01","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.01","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","2.53","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","2.67","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","1070000","Fc","Calculated data"
"EK","Livestock Patterns","9","Argentina","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","1163000","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","6.98","Fc","Calculated data"
"EK","Livestock Patterns","1","Armenia","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","6.85","Fc","Calculated data"
