Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","121.668566","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","144.719763","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","121.937489","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","144.96173","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","121.152355","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","152.947136","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","123.953137","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","152.821914","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","122.984996","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","153.899609","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","122.7637","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","154.976486","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","124.459784","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","151.642835","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","126.045905","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","149.937002","X","International reliable sources","base year is rescaled to 2010"
