Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TM","Detailed trade matrix","68","France","11","Austria","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","28","","Official data",""
"TM","Detailed trade matrix","68","France","11","Austria","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","465","","Official data",""
"TM","Detailed trade matrix","68","France","255","Belgium","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","92979","","Official data",""
"TM","Detailed trade matrix","68","France","255","Belgium","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","98135","","Official data",""
"TM","Detailed trade matrix","68","France","21","Brazil","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","517","","Official data",""
"TM","Detailed trade matrix","68","France","21","Brazil","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","1182","","Official data",""
"TM","Detailed trade matrix","68","France","27","Bulgaria","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","90","","Official data",""
"TM","Detailed trade matrix","68","France","27","Bulgaria","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","71","","Official data",""
"TM","Detailed trade matrix","68","France","33","Canada","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","13","","Official data",""
"TM","Detailed trade matrix","68","France","50","Cyprus","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","37","","Official data",""
"TM","Detailed trade matrix","68","France","167","Czechia","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","185","","Official data",""
"TM","Detailed trade matrix","68","France","167","Czechia","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","159","","Official data",""
"TM","Detailed trade matrix","68","France","54","Denmark","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","1400","","Official data",""
"TM","Detailed trade matrix","68","France","54","Denmark","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","2303","","Official data",""
"TM","Detailed trade matrix","68","France","67","Finland","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","48","","Official data",""
"TM","Detailed trade matrix","68","France","67","Finland","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","89","","Official data",""
"TM","Detailed trade matrix","68","France","70","French Polynesia","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","4","","Official data",""
"TM","Detailed trade matrix","68","France","79","Germany","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","35563","","Official data",""
"TM","Detailed trade matrix","68","France","79","Germany","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","34444","","Official data",""
"TM","Detailed trade matrix","68","France","84","Greece","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","0","","Official data",""
"TM","Detailed trade matrix","68","France","97","Hungary","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","878","","Official data",""
